Result	gene_set	coefficient_estimate
Metabolism	NQO2	0.028012
Metabolism	SPTLC2	-0.03916738
Metabolism	PRKD2	-0.02271402
Metabolism	PRKD3	0.02852643
Metabolism	PON1	0.02130551
Metabolism	ESD	0.02167141
Metabolism	ACADS	-0.02568086
Metabolism	SLC9A1	-0.03233951
Metabolism	SLCO2B1	-0.02450025
Metabolism	SMPD1	0.02599358
Metabolism	SGPL1	-0.02952022
Metabolism	SGPP1	-0.03368363
Metabolism	SQLE	0.02231302
Metabolism	STARD3NL	0.02318028
Metabolism	SDHC	-0.02133187
Metabolism	TYMP	-0.02323452
Metabolism	GART	-0.0226627
Metabolism	PRSS1	0.03324661
Metabolism	TNFAIP8L2	-0.02351924
Metabolism	UCK2	0.02363766
Metabolism	UROS	0.02441253
Metabolism	HSD17B12	-0.03392376
Metabolism	TECR	-0.02596333
Metabolism	GC	0.02261949
Metabolism	VKORC1	-0.02627547
Signaling by TGF-beta Receptor Complex	STRAP	0.4393535
